pelaaja_id,Pelaaja_Nimi,Pelaaja_Joukkue,Pelaaja_Pelipaikka,Pelaaja_Syntynyt,Pelaaja_Kansalaisuus,Pelaaja_Syntymäpaikka,Pelaaja_Ikä,Pelaaja_Pituus,Pelaaja_Paino,Pelaaja_Maila
40339220,"Bonsaksen, Alexander",KooKoo,Vasen puolustaja,24.1.1987,NOR,"Oslo, NOR",34,182,83,L
23168071,"Salmela, Tuomas",Ilves,Oikea puolustaja,30.6.1995,FIN,"Tornio, FIN",25,188,92,L
29902367,"Jämsen, Juuso",Pelicans,Oikea laitahyökkääjä,29.6.2000,FIN,"Lahti, FIN",20,175,76,R
30482177,"Winberg, Tobias",HIFK,Vasen puolustaja,2.10.1998,FIN,"Helsinki, FIN",22,190,90,L
28273262,"Rautanen, Juho",KooKoo,Vasen puolustaja,25.5.1997,FIN,"Mäntsälä, FIN",23,183,84,L
32780178,"Mäntykivi, Matias",SaiPa,Oikea laitahyökkääjä,21.6.2001,FIN,"Lappeenranta, FIN",19,181,75,L
25458802,"Tanus, Jonatan",Pelicans,Oikea laitahyökkääjä,4.6.1995,FIN,"Kuopio, FIN",25,175,85,L
21940848,"Karvinen, Otto",Kärpät,Oikea laitahyökkääjä,8.4.1990,FIN,"Vantaa, FIN",31,187,89,L
29885743,"Vesalainen, Kristian",HPK,Vasen laitahyökkääjä,1.6.1999,FIN,"Helsinki, FIN",21,192,94,L
22024624,"Kivelä, Niko",Ässät,Oikea laitahyökkääjä,21.2.1995,FIN,"Helsinki, FIN",26,186,90,L
25091997,"Riikola, Simo-Pekka",SaiPa,Oikea puolustaja,3.2.1992,FIN,"Joensuu, FIN",29,186,90,R
32707368,"Vilén, Topias",Pelicans,Oikea puolustaja,1.4.2003,FIN,"Lahti, FIN",18,184,88,L
25572911,"Salmela, Anssi",Ilves,Oikea puolustaja,13.8.1984,FIN,"Nokia, FIN",36,185,86,L
32033595,"Seppälä, Peetro",KooKoo,Vasen puolustaja,17.8.2000,FIN,"Kuusankoski, FIN",20,189,88,L
25381270,"Vainio, Olli",Ässät,Oikea puolustaja,23.4.1994,FIN,"Tampere, FIN",27,185,83,R
